"query","id","doi","year","type","venue","title"
"S2","W4412406983","10.52058/2786-6025-2025-6(47)-889-903","2025","article","Наука і техніка сьогодні","MODELS AND METHODS OF DECISION SUPPORT FOR SOFTWARE DEVELOPMENT RISK ASSESSMENT"
"S2","W7117392144","","2025","article","Scientific periodicals of Ukraine","Стратегічні пріоритети інноваційного розвитку підприємств будівельної галузі"
"S2","W4416838635","10.1108/sasbe-11-2025-570","2025","editorial","Smart and Sustainable Built Environment","Editorial: Smart infrastructure and safety innovation: AI-driven risk management and resilience strategies"
"S2","W7153347027","10.46254/ba08.20250191","2025","conference-paper",,"Project and Supply Chain Optimization to Enhance Sustainability in AI-driven Industry 4.0: A Review of Recent Trends"
"S3","W3168215860","10.3390/app11115183","2021","article","Applied Sciences","Software Project Management Using Machine Learning Technique—A Review"
"S3","W3210952671","10.1088/1742-6596/2040/1/012038","2021","conference-paper","Journal of Physics Conference Series","Role of Machine Learning in Software Project Management"
"S3","W4367024597","10.18034/abcjar.v7i2.626","2018","article","ABC Journal of Advanced Research","The Application of Machine Learning Techniques in Software Project Management- An Examination"
"S3","W2921737895","10.14257/ijmue.2015.10.9.01","2015","article","International Journal of Multimedia and Ubiquitous Engineering","Comparison of Machine Learning Algorithms for Software Project Time Prediction"
"S3","W3201704777","10.1007/s42979-021-00872-6","2021","article","SN Computer Science","Software Enhancement Effort Prediction Using Machine-Learning Techniques: A Systematic Mapping Study"
"S3","W4403896554","10.1016/j.heliyon.2024.e39926","2024","article","Heliyon","Utilizing machine learning algorithms for task allocation in distributed agile software development"
"S3","W4221012144","10.1007/978-981-16-8987-1_64","2022","book-chapter","Lecture notes in networks and systems","Identification of the Ideal Team Capabilities and Predictive Success Measure for Software Projects Using Machine Learning"
"S3","W4315606540","10.1109/access.2023.3235953","2023","article","IEEE Access","Learning Software Project Management From Analyzing Q&A’s in the Stack Exchange"
"S3","W4389302037","10.1109/icics60529.2023.10330468","2023","conference-paper",,"Application of Natural Language Processing Techniques in Agile Software Project Management: A Survey"
"S3","W3080470883","10.1145/3404555.3404588","2020","review",,"A Systematic Review on Software Project Scheduling and Task Assignment Approaches"
"S3","W7170159020","10.55041/isjem08335","2026","article","International Scientific Journal of Engineering and Management","Machine Learning Models for Software Cost Estimation"
"S3","W7133632653","10.14569/ijacsa.2026.0170245","2026","article","International Journal of Advanced Computer Science and Applications","Machine Learning-Based Effort Prediction and Early Risk Detection in Software Development Projects: A Case Study"
"S3","W4310257710","10.1007/978-981-19-5292-0_5","2022","book-chapter","Lecture notes in networks and systems","Comparative Analysis of Ensemble Models for Software Effort Estimation"
"S3","W4407717756","10.36347/sajb.2025.v13i02.007","2025","article","Scholars Academic Journal of Biosciences","AI-Driven Risk Assessment and Mitigation Strategies for Optimizing Project Success"
"S3","W7147204747","10.21203/rs.3.rs-8916845/v1","2026","preprint","Research Square","Holistic Agile Improvement Framework: Embedded with Cost Estimation and Intelligent Requirements Classification Capabilities"
"S3","W4311557995","10.1088/1742-6596/2404/1/011001","2022","conference-paper","Journal of Physics Conference Series","Preface"
"S3","W7125486354","10.52436/1.jutif.2025.6.6.5465","2025","article","Jurnal Teknik Informatika (Jutif)","Optimization of Software Effort Estimation Using Hybrid Consistent Fuzzy Preference Relation and Least Squares Support Vector Machine"
"S3","W7126104148","10.1109/comcomap68359.2025.11353131","2025","conference-paper",,"An Experimental Study on the Accuracy of Ensemble vs. Solo Models in Software Effort Estimation"
"S4","W4393621326","10.14569/ijacsa.2024.0150306","2024","article","International Journal of Advanced Computer Science and Applications","Integrating Generative AI for Advancing Agile Software Development and Mitigating Project Management Challenges"
"S4","W4416330833","10.62036/isd.2025.6","2025","conference-paper","Proceedings of the International Conference on Information Systems Development","Exploring the Impact of Generative Artificial Intelligence on Software Development in the IT Sector: Preliminary Findings on Productivity, Efficiency and Job Security"
"S4","W4411476750","10.33022/ijcs.v14i3.4800","2025","article","Indonesian Journal of Computer Science","Generative Artificial Intelligence in Agile Product Management: Optimizing Task Coordination and Team Efficiency in Software Development"
"S4","W4400920666","10.36315/2024v1end123","2024","conference-paper",,"An analysis of generative artificial intelligence tools usage to adapt and enrich software development courses"
"S4","W4400488941","10.1287/isre.2024.1361","2026","article","Information Systems Research","The Impact of Generative AI on Collaborative Open-Source Software Development: Evidence from GitHub Copilot"
"S4","W4413918803","10.1109/mipro65660.2025.11131852","2025","conference-paper",,"An Insight into the Impact of Generative Artificial Intelligence Tools on Software Development Practices"
"S4","W4402997047","10.11648/j.mlr.20240902.12","2024","article","Machine Learning Research","Generative Artificial Intelligence: Challenges and Opportunities for Systems Developers: A Systematic Mapping of Literature"
"S4","W4417404639","10.1109/icidca66325.2025.11280486","2025","conference-paper",,"Generative AI in Agile Software Development: A Comprehensive Survey"
"S4","W4383498485","10.1109/ms.2023.3265877","2023","article","IEEE Software","Generative AI for Software Practitioners"
"S4","W7126207351","10.1109/access.2026.3659713","2026","article","IEEE Access","Generative Artificial Intelligence for Software Development Using ISO/IEC 29110 Basic Profile: Gaps and Opportunities"
"S4","W4411491073","10.1145/3732775.3733572","2025","conference-paper",,"Leveraging Large Language Models for Code Translation and Software Development in Scientific Computing"
"S4","W4404427969","10.32628/cseit24106197","2024","article","International Journal of Scientific Research in Computer Science Engineering and Information Technology","Transforming Software Development Through Generative AI : A Systematic Analysis of Automated Development Practices"
"S4","W4417509653","10.1109/iccr67387.2025.11292118","2025","conference-paper",,"Generative Artificial Intelligence for code generation based on CodeT5 algorithm"
"S4","W4399031185","10.1007/978-3-031-61175-9_23","2024","conference-paper","Lecture notes in computer science","Design Principles for Collaborative Generative AI Systems in Software Development"
"S4","W4411567620","10.15587/2706-5448.2025.326899","2025","article","Technology audit and production reserves","Determining the capabilities of generative artificial intelligence tools to increase the efficiency of refactoring process"
"S4","W4407208042","10.24251/hicss.2025.719","2025","conference-paper","Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences","Can Generative AI Contribute to Both Productivity Gains and Human Flourishing, and in Fine Satisfaction at Work? Research on GitHub Copilot Use in Software Development"
"S4","W4413201823","10.1002/ail2.127","2025","article","Applied AI Letters","Thematic Analysis of Expert Opinions on the Use of Large Language Models in Software Development"
"S4","W4416100408","10.55041/ijsrem53791","2025","article","INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT","Role of Generative AI in Software Development"
"S4","W4403882364","10.48550/arxiv.2410.02091","2024","preprint","arXiv (Cornell University)","The Impact of Generative AI on Collaborative Open-Source Software Development: Evidence from GitHub Copilot"
"S4","W7140551469","10.1007/s12599-026-00998-y","2026","article","Business & Information Systems Engineering","Developers’ Dilemma: Opportunities and Pitfalls of Generative AI for Software Development"
"S4","W7160609171","10.5281/zenodo.20082440","2026","dataset","Zenodo (CERN European Organization for Nuclear Research)","Generative Artificial Intelligence for Software Development and Automation: A Compre hensive Review"
"S4","W7160595305","10.5281/zenodo.20082441","2026","dataset","Zenodo (CERN European Organization for Nuclear Research)","Generative Artificial Intelligence for Software Development and Automation: A Compre hensive Review"
"S4","W7172476237","","2026","dissertation","LUTPub (LUT University)","How generative artificial intelligence (AI) tools can enhance software development?"
"S4","W7115071672","10.5281/zenodo.17925076","2025","peer-review","Zenodo (CERN European Organization for Nuclear Research)","PREreview of ""Exploring the Impact of Generative Artificial Intelligence on Software Development in the IT Sector: Preliminary Findings on Productivity, Efficiency and Job Security"""
"S4","W7172482555","10.57709/431","2026","dissertation",,"Organizational Impacts of Generative Artificial Intelligence: An Investigation of Software Development and Creative Ideation"
"S4","W7115080137","10.5281/zenodo.17925075","2025","peer-review","Zenodo (CERN European Organization for Nuclear Research)","PREreview of ""Exploring the Impact of Generative Artificial Intelligence on Software Development in the IT Sector: Preliminary Findings on Productivity, Efficiency and Job Security"""
"S4","W7135242384","10.5281/zenodo.18995655","2026","article","Zenodo (CERN European Organization for Nuclear Research)","Generative Artificial Intelligence and Its Impact on Business Productivity and Innovation"
"S4","W7135209051","10.5281/zenodo.18995654","2026","article","Zenodo (CERN European Organization for Nuclear Research)","Generative Artificial Intelligence and Its Impact on Business Productivity and Innovation"
"S4","W4399266415","10.1007/978-3-031-60606-9_3","2024","conference-paper","Lecture notes in computer science","Evaluation of Generative AI-Assisted Software Design and Engineering: A User-Centered Approach"
"S4","W7127971117","10.1109/conisoft66928.2025.00047","2025","conference-paper",,"The Impact of Generative Artificial Intelligence on Software Development Teams During the Construction Phase: Systematic Mapping Study"
"S4","W4408540636","10.2139/ssrn.5182164","2025","preprint","SSRN Electronic Journal","How Generative Artificial Intelligence Tools Can Improve the Quality of Software Produced by Software Development Teams"
"S4","W7134983887","10.1109/sccc67219.2025.11420613","2025","conference-paper",,"Generative Artificial Intelligence for AgileRE: A Systematic Mapping"
"S4","W7203892061","10.1007/978-3-032-32104-6_26","2026","conference-paper","EAI/Springer Innovations in Communication and Computing","Integrating Generative Artificial Intelligence as a Learning Assistant in Software Engineering: Evaluating Developer Productivity with Cost-Benefit Analysis"
"S4","W7127251542","","2025","dissertation","Theseus (Ammattikorkeakoulujen)","Impact of Generative Artificial Intelligence in Software Development Life Cycle : A Mixed-Methods Study in Finland and Abroad Using Concurrent Triangulation Design Approach"
"S4","W7164938444","10.56975/jnrid.v4i6.702642","2026","article","JOURNAL OF NOVEL RESEARCH AND INNOVATIVE DEVELOPMENT","A Framework for Intelligent Software Engineering Using Generative Artificial Intelligence."
"S4","W7205513287","","2026","dissertation","Institutional Repository of the Federal Technological University of Paraná (RIUT) (Federal University of Technology – Paraná)","Generative artificial intelligence as a catalyst for knowledge management in software engineering"
"S4","W4413129678","10.37547/tajet/volume07issue08-11","2025","article","The American Journal of Engineering And Technology","Paradigms of Generative Artificial Intelligence in Automating Corporate Code Writing"
"S4","W4411460350","10.33093/jiwe.2025.4.2.8","2025","article","Journal of Informatics and Web Engineering","Cyber Security Threats of Using Generative Artificial Intelligence in Source Code Management"
"S4","W7125713301","10.48550/arxiv.2601.16700","2026","preprint","arXiv (Cornell University)","Adoption of Generative Artificial Intelligence in the German Software Engineering Industry: An Empirical Study"
"S4","W7164326154","10.1145/3803437.3805207","2026","conference-paper",,"Adoption of Generative Artificial Intelligence in the German Software Engineering Industry: An Empirical Study"
"S4","W4404952844","10.1109/aixset62544.2024.00026","2024","conference-paper",,"Vulnerability Handling of AI-Generated Code - Existing Solutions and Open Challenges"
"S4","W7203820705","10.31235/osf.io/ym693_v1","2026","preprint",,"Cognitive Degradation: The Reconfiguration of the Labor Process and Knowledge Authority in the Era of Generative Artificial Intelligence"
"S4","W7154911988","10.5281/zenodo.19652204","2025","preprint","Zenodo (CERN European Organization for Nuclear Research)","Generative Artificial Intelligence in Real-World Applications: A Survey of Architectures, Use Cases, and Implementation Challenges"
"S4","W7154904736","10.5281/zenodo.19652205","2025","preprint","Zenodo (CERN European Organization for Nuclear Research)","Generative Artificial Intelligence in Real-World Applications: A Survey of Architectures, Use Cases, and Implementation Challenges"
"S4","W4403741725","10.34190/ecel.23.1.3090","2024","conference-paper","European Conference on e-Learning","Generative AI in Higher Education: Educators' Perspectives on Academic Learning and Integrity"
"S4","W7208726607","10.70917/ijcisim-2026-5434","2026","article","International Journal of Computer Information Systems and Industrial Management Applications","Generative AI and Technical Debt in Software Development: Productivity Gains versus Code Quality and Security Risk"
"S4","W7169871729","10.5281/zenodo.21478641","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","The Impact of Generative AI on Modern Software Development"
"S4","W7169835524","10.5281/zenodo.21478642","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","The Impact of Generative AI on Modern Software Development"
"S4","W7171664861","10.2139/ssrn.6628118","2026","preprint","SSRN Electronic Journal","Introduction Of Generative Ai On Software Development"
"S4","W4415027142","10.46632/cset/3/3/12","2025","article","Computer Science Engineering and Technology","Measuring AI-Driven Developer Productivity in Agile Software Development Random Forest Regression Analysis of Performance Metrics and Tool Integration"
"S4","W7156261745","10.55041/isjem06815","2026","article","International Scientific Journal of Engineering and Management","A Review on Role of Generative AI in Software Development"
"S4","W7171715683","10.2139/ssrn.6556058","2026","preprint","SSRN Electronic Journal","Generative AI for Software Development Automation"
"S4","W7171709341","10.2139/ssrn.6608258","2026","preprint","SSRN Electronic Journal","Generative AI for Software Development Automation"
"S4","W7109195957","10.55041/ijsrem54895","2025","article","INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT","Impact of Generative AI on the Software Development Lifecycle"
"S4","W7198351511","","2025","conference-paper","Jyväskylä University Digital Archive (University of Jyväskylä)","Ethical Considerations of Using Generative AI in Software Development"
"S4","W4409790488","10.30574/wjarr.2025.26.1.1387","2025","article","World Journal of Advanced Research and Reviews","The role of generative AI in software development: Will it replace developers?"
"S4","W4414794612","10.47191/ijmcr/v13i9.10","2025","article","INTERNATIONAL JOURNAL OF MATHEMATICS AND COMPUTER RESEARCH","AI-Assisted Coding: Evolution or Erosion of Software Development Skills?"
"S4","W4417036943","10.5753/sbqs.2025.15015","2025","conference-paper",,"Lessons Learned from the Use of Generative AI in Engineering and Quality Assurance of a WEB System for Healthcare"
"S4","W4415746186","10.1109/icsme64153.2025.00095","2025","conference-paper",,"Ensuring Code Integrity in the Era of AI-Assisted Software Development"
"S4","W4410085965","10.2139/ssrn.5201382","2025","preprint","SSRN Electronic Journal","The Impact of Generative AI on Agile Software Development: A System Dynamics Approach"
"S4","W4409796413","10.1109/southeastcon56624.2025.10971683","2025","conference-paper",,"Transforming Software Architecture Design With Intelligent Assistants-A Comparative Analysis"
"S4","W4408440232","10.3103/s0146411624700913","2024","article","Automatic Control and Computer Sciences","Method of Searching for Clones of the Program Code in Binary Executive Files"
"S4","W4404348691","10.48550/arxiv.2410.24119","2024","preprint","arXiv (Cornell University)","Leveraging Large Language Models for Code Translation and Software Development in Scientific Computing"
"S4","W7166903890","","2026","dissertation","Diva portal (Dalarna University Library)","Challenges of incorporating Generative AI tools in the Agile Software Development Lifecycle"
"S4","W7162090177","10.52783/jisem.v9i3.77","2024","article","Journal of Information Systems Engineering & Management","Transforming Business Operations with Generative AI: From Customer Service to Software Development"
"S4","W7198825390","","2026","article","Työväentutkimus Vuosikirja","The Role of Generative AI tools in Supporting Hybrid Software Development Teams – A Comparative Study"
"S4","W7155091731","10.1109/aixse64906.2025.00017","2025","conference-paper",,"Generative AI for Software Engineering: Generative AI Effectiveness and Efficiency in Software Development Documentation"
"S4","W7167467797","10.59934/jaiea.v5i3.2431","2026","review","Journal of Artificial Intelligence and Engineering Applications (JAIEA)","The Role of Generative AI in the Software Development Life Cycle: A Systematic Literature Review"
"S4","W7151407734","10.52783/cana.v32.6808","2024","article","Communications on Applied Nonlinear Analysis","Role and Importance of Generative AI (Artificial Intelligence) and its Impact on Software Development in the Present Era"
"S4","W4406957738","10.2139/ssrn.5046819","2025","preprint","SSRN Electronic Journal","The Impact of Software GAI Capabilities on Human-AI Interactive Writing: A Systematic Review and Bibliometric Analysis"
"S4","W7168546124","10.5281/zenodo.21390090","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","Artificial Intelligence Dependency and Human Cognitive Development: A Comprehensive Multidisciplinary Framework for Responsible AI Adoption, Critical Thinking, Cognitive Offloading, Human Creativity, Ethical Decision-Making, Educational Transformation, and Sustainable Human–AI Collaboration in the Era of Generative Artificial Intelligence"
"S4","W7168880969","10.5281/zenodo.21390091","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","Artificial Intelligence Dependency and Human Cognitive Development: A Comprehensive Multidisciplinary Framework for Responsible AI Adoption, Critical Thinking, Cognitive Offloading, Human Creativity, Ethical Decision-Making, Educational Transformation, and Sustainable Human–AI Collaboration in the Era of Generative Artificial Intelligence"
"S4","W7164196601","10.5281/zenodo.20623998","2026","article","Zenodo (CERN European Organization for Nuclear Research)","TRANSFORMING CODE: EVALUATING THE IMPACT OF GENERATIVE AI ON SOFTWARE ENGINEERING PRODUCTIVITY"
"S4","W4410697666","10.4108/eetsis.9376","2025","article","ICST Transactions on Scalable Information Systems","Enhancing Stakeholder Analysis with AI: A Comparative Study of Productivity and Quality in the Educational Context"
"S4","W7164121664","10.5281/zenodo.20623999","2026","article","Zenodo (CERN European Organization for Nuclear Research)","TRANSFORMING CODE: EVALUATING THE IMPACT OF GENERATIVE AI ON SOFTWARE ENGINEERING PRODUCTIVITY"
"S4","W7165813420","10.1007/s43681-026-01203-2","2026","article","AI and Ethics","A comprehensive analysis of security risks and productivity impacts of AI-generated code"
"S4","W4401777545","10.28945/5362","2024","article","Journal of Information Technology Education Innovations in Practice","Coding with AI as an Assistant: Can AI Generate Concise Computer Code?"
"S4","W7138933292","10.2139/ssrn.6366218","2026","preprint","SSRN Electronic Journal","Generative AI and Worker Productivity: A Systematic Review and Quantitative Evidence Synthesis (2023-2026)"
"S4","W7164898989","10.54254/2754-1169/2026.bl34568","2026","article","Advances in Economics Management and Political Sciences","Generative AI, Digital Infrastructure, and Firm Productivity: A Task-to-Firm Conversion Framework for Chinese Firms"
"S4","W7171677872","10.2139/ssrn.6963279","2026","preprint","SSRN Electronic Journal","The Conditional Productivity Effect of Generative AI: A Systematic Review and Descriptive Meta-analytic Synthesis of Knowledge-worker Studies (2022-2026)"
"S4","W7169593714","10.5281/zenodo.21407873","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","""Human in the Loop, Machine in the Pipeline: An Evidence Synthesis of Generative AI Productivity, Verification Overhead, and Repository-Scale Risk in Software Engineering"""
"S4","W7169624632","10.5281/zenodo.21407872","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","""Human in the Loop, Machine in the Pipeline: An Evidence Synthesis of Generative AI Productivity, Verification Overhead, and Repository-Scale Risk in Software Engineering"""
"S4","W7172027425","10.2139/ssrn.7119118","2026","preprint","SSRN Electronic Journal","Human in the Loop, Machine in the Pipeline: An Evidence Synthesis of Generative AI Productivity, Verification Overhead, and Repository-Scale Risk in Software Engineering"
"S4","W7162073795","10.48550/arxiv.2605.22349","2026","preprint","Otago University Research Archive (University of Otago)","At What Cost? Software Developers' Well-Being in the Age of GenAI"
"S4","W7162186123","10.1145/3803437.3805581","2026","conference-paper",,"At What Cost? Software Developers’ Well-Being in the Age of GenAI"
"S4","W7168066957","","2025","conference-paper","Lund University Publications (Lund University)","AI use in Software Engineering : More than you bargained for?"
"S4","W7208483042","","2025","conference-paper","Alexandria (UniSG) (University of St.Gallen)","AI-Powered Teams: How the Usage of Generative AI Tools Enhances Knowledge Transfer and Knowledge Application in Knowledge-Intensive Teams"
"S4","W7169759103","10.5281/zenodo.21448229","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","From Abstraction to Artificial Intelligence: Why Programming Faster Does Not Mean Knowing Less"
"S4","W4415524840","10.1109/ubmk67458.2025.11206953","2025","conference-paper",,"Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis"
"S4","W7169814299","10.5281/zenodo.21448228","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","From Abstraction to Artificial Intelligence: Why Programming Faster Does Not Mean Knowing Less"
"S4","W7128957646","10.69849/revistaft/ni10202602151207","2026","article","Revista fisio&terapia.","A EVOLUÇÃO DA INTELIGÊNCIA ARTIFICIAL GENERATIVA E SUAS APLICAÇÕES NO DESENVOLVIMENTO DE SOFTWARE: AMEAÇA OU ALIADO DO PROGRAMADOR?"
"S4","W7143311081","10.55927/eajmr.v5i3.59","2026","article","East Asian Journal of Multidisciplinary Research","Next-Gen Developers: Rethinking Software Engineering Education in the Age of Generative AI"
"S4","W7162781530","10.1002/9781394406623.ch2","2026","other",,"Introduction to GitHub Copilot"
"S4","W7149928796","10.1007/978-3-032-02705-4_9","2026","book-chapter","Signals and communication technology","GenAI in Business: Opportunities and Challenges"
"S4","W4405836486","10.5120/ijca2024924268","2024","article","International Journal of Computer Applications","Story Point Estimate Model: Project Development using Generative AI (GenAI) Tools"
"S4","W4414995497","10.5753/sbes.2025.11074","2025","conference-paper",,"The Impact of Generative AI on Code Expertise Models: An Exploratory Study"
"S4","W4417275491","10.48550/arxiv.2507.08160","2025","preprint","arXiv (Cornell University)","The Impact of Generative AI on Code Expertise Models: An Exploratory Study"
"S4","W7125694795","10.5281/zenodo.18374437","2026","article","Zenodo (CERN European Organization for Nuclear Research)","ChatGPT as a Tool for Programming Assistance and Code Development"
"S4","W7125677265","10.5281/zenodo.18374436","2026","article","Zenodo (CERN European Organization for Nuclear Research)","ChatGPT as a Tool for Programming Assistance and Code Development"
"S4","W7142485337","10.47191/ijmra/v9-i3-49","2026","article","INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS","The Metamorphosis of Code: How Artificial Intelligence is Reshaping Software Architecture"
"S4","W7142125631","10.5281/zenodo.19276653","2026","article","INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS","The Metamorphosis of Code: How Artificial Intelligence is Reshaping Software Architecture"
"S4","W7142235343","10.5281/zenodo.19276652","2026","article","INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS","The Metamorphosis of Code: How Artificial Intelligence is Reshaping Software Architecture"
"S4","W7166435632","10.5281/zenodo.20996282","2026","article","Zenodo (CERN European Organization for Nuclear Research)","Assessing the Impact of Generative AI on Code Quality and Software Maintainability"
"S4","W7166449669","10.5281/zenodo.20996281","2026","article","Zenodo (CERN European Organization for Nuclear Research)","Assessing the Impact of Generative AI on Code Quality and Software Maintainability"
